ID,Approach Behavior S,Approach Behavior PU,Approach Behavior DE,Approach Behavior HB,Approach Behavior B,Approach Behavior D,Catch Behavior B,Catch Behavior S,Catch Behavior D,Handling Behavior B,Handling Behavior S,Handling Behavior D,Handling Behavior DE
T1,1,0,0,0,0,0,1,1,0,1,1,0,0
T2,1,0,0,0,0,0,1,1,0,1,1,1,0
T3,1,0,0,0,0,0,0,0,0,0,0,0,0
T4,1,0,0,0,0,0,1,1,1,1,1,1,1
T5,1,0,0,0,0,0,0,0,0,0,0,0,0
T6,0,1,0,0,0,0,0,0,0,0,0,0,0
T7,1,0,0,0,0,0,0,1,1,1,1,0,0
T8,0,0,1,0,0,0,0,1,0,1,1,0,0
T9,1,0,0,0,0,0,0,0,0,0,0,0,0
T10,0,0,1,0,0,0,0,0,0,0,0,0,0
T11,1,0,0,0,0,0,0,0,0,0,0,0,0
T12,0,0,1,1,0,0,0,0,0,1,1,0,0
T13,1,0,0,0,0,0,1,0,1,0,1,1,0
T14,1,0,0,0,0,0,0,0,0,0,0,0,0
T15,0,0,1,0,0,0,0,0,0,0,0,0,0
T16,1,0,0,0,0,0,1,0,0,1,1,0,0
T17,1,0,0,0,0,0,0,0,0,0,0,0,0
T18,0,0,0,0,0,0,0,0,0,1,1,0,0
T19,0,0,0,0,1,0,1,1,0,1,1,0,0
T20,0,0,0,0,1,0,1,1,1,1,1,1,1
T21,0,0,0,0,1,0,1,1,0,1,1,0,0
T22,0,0,0,0,0,0,0,0,0,0,0,0,0
T23,0,0,0,0,0,0,1,1,0,1,1,0,0
T24,0,0,0,0,0,0,1,1,0,1,1,0,0
T25,0,0,0,0,0,0,1,1,0,1,1,0,0
T26,0,0,0,0,1,0,1,1,0,0,1,0,0
T27,0,0,0,0,0,0,1,1,0,1,1,1,0
T28,0,0,0,0,1,0,0,0,0,0,0,0,0
T29,0,0,0,0,0,0,1,0,0,1,1,0,0
T30,0,0,0,0,1,1,1,1,0,1,1,0,0
T31,0,0,0,0,1,0,1,1,0,1,1,0,0
T32,0,0,0,0,1,1,1,0,0,1,1,0,0
PL1,1,0,0,0,0,0,0,0,0,0,0,0,0
PL2,1,0,0,0,0,0,1,1,0,1,1,1,0
PL3,1,0,0,0,0,0,0,0,0,0,0,0,0
PL4,1,0,0,0,0,0,0,0,0,1,0,0,0
PL5,0,0,0,0,0,0,0,0,0,0,0,0,0
PL6,1,0,0,0,0,0,0,0,0,1,1,0,0
PL7,1,0,0,0,0,0,1,0,0,1,1,0,0
PL8,1,0,0,0,0,0,0,0,0,0,1,0,0
PL9,0,1,0,0,0,0,1,1,0,1,0,1,1
PL10,1,0,0,0,0,0,1,1,1,0,1,0,0
PL11,1,0,0,0,0,0,0,1,0,0,0,1,0
PL12,1,0,0,0,0,0,1,1,0,1,1,0,0
PL13,1,0,0,0,0,0,0,0,0,0,0,0,0
PL14,1,0,0,0,0,0,1,1,0,1,1,0,0
PL15,1,0,0,0,0,0,0,0,0,1,1,0,0
PL16,0,1,0,0,0,0,0,0,0,0,0,0,0
PL17,1,0,0,0,0,0,0,0,0,1,1,0,0
PL18,1,0,0,0,0,0,0,1,0,0,1,0,0
PL19,1,0,0,0,0,0,1,1,0,0,1,0,0
PL20,1,0,0,0,0,0,1,0,0,1,1,0,0
PL21,1,0,0,0,0,0,0,1,0,0,1,0,0
PL22,0,1,1,0,0,0,1,1,0,1,1,1,0
PL23,1,0,0,0,0,0,0,1,0,0,1,0,0
PL24,1,0,0,0,0,0,1,1,0,1,1,0,0
PL25,1,0,0,0,0,0,1,1,0,1,1,0,0
PL26,1,0,0,0,0,0,1,1,0,0,1,0,0
PL27,0,1,0,0,0,0,0,1,1,0,1,0,0
PL28,1,0,0,0,0,0,0,1,0,1,1,1,0
PL29,0,1,0,0,0,0,1,1,0,1,1,0,0
PL30,1,0,0,0,0,0,0,0,0,1,1,0,0
PL31,1,0,0,0,0,0,1,1,1,1,0,0,0
PL32,1,0,0,0,0,0,0,1,0,0,1,1,0
PL33,1,0,0,0,0,0,1,1,0,1,0,0,0
PL34,1,0,0,0,0,0,0,0,0,1,0,0,0
PL35,1,0,0,0,0,0,1,0,1,1,1,1,0
PL36,1,0,0,0,0,0,0,0,0,1,1,0,0
PL37,1,0,0,0,0,0,1,1,0,1,1,1,0
PL38,1,0,0,0,0,0,1,1,1,1,1,0,0
PL39,1,0,0,0,0,0,0,1,0,1,1,0,0
PL40,1,0,0,0,0,0,0,1,0,0,1,0,0
PL41,1,0,0,0,0,0,0,1,0,1,1,0,0
PL42,1,0,0,0,0,0,0,1,0,0,1,0,0
PL43,1,0,0,0,0,0,0,0,0,1,1,0,0
PL44,1,0,0,0,0,0,0,1,0,1,1,0,0
PL45,1,0,0,0,0,0,0,1,0,0,1,0,0
PL46,1,0,0,0,1,0,0,0,0,1,1,1,0
PL47,1,0,0,0,0,0,1,1,1,1,1,0,0
PL48,1,0,0,0,0,0,1,1,0,0,0,0,0
PL49,1,0,0,0,0,0,0,0,0,0,0,0,0
PL50,1,0,0,0,0,0,1,1,1,0,1,0,0
PL51,1,0,0,0,0,0,1,1,0,1,1,1,0
PL52,1,0,0,0,0,0,0,1,0,1,1,1,0
PL53,1,0,0,0,0,0,0,1,0,0,1,0,0
PL54,1,0,0,0,0,0,0,1,0,0,1,0,0
PL55,1,0,0,0,0,0,0,1,0,1,1,0,0
PL56,1,0,0,0,0,0,0,1,0,0,1,0,0
PL57,1,0,0,0,0,0,0,1,0,0,1,0,0
PL58,1,0,0,0,0,0,0,1,0,0,1,0,0
PL59,0,1,0,0,0,0,0,1,0,1,1,0,0